Date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,JPM,BAC,WFC,XOM,CVX,JNJ,PFE,PG,KO,DIS,NFLX,TSLA,INTC,CSCO,V,V,MA,HD,NKE,T,T,VZ,IBM,ORCL,PEP,MCD
2020-01-08,,,,,,,,,,,,,,,,,,,,,184.3173828125,42.39800262451172,,,,32.80933380126953,19.458425521850586,,,,,
2020-01-09,,,,,,,,,,,,,,,,,,,,,185.5947265625,42.22222137451172,,,,32.089332580566406,19.51802635192871,,,,,
2020-01-10,,,,,,,,,,,,,,,,,,,,,186.09408569335938,42.32267379760742,,,,31.876667022705078,19.40232276916504,,,,,
2020-01-13,,,,,,,,,,,,,,,,,,,,,187.59231567382812,42.437461853027344,,,,34.990665435791016,19.165895462036133,,,,,
2020-01-14,,,,,,,,,,,,,,,,,,,,,188.28384399414062,42.358543395996094,,,,35.861331939697266,19.160863876342773,,,,,
2020-01-15,,,,,,,,,,,,,,,,,,,,,191.88522338867188,42.40159225463867,,,,34.56666564941406,19.05019760131836,,,,,
2020-01-16,,,,,,,,,,,,,,,,,,,,,192.9896697998047,42.8105354309082,,,,34.232666015625,19.130680084228516,,,,,
2020-01-17,,,,,,,,,,,,,,,,,,,,,196.59109497070312,43.14057540893555,,,,34.03333282470703,19.306745529174805,,,,,
2020-01-21,,,,,,,,,,,,,,,,,,,,,199.07852172851562,43.27688217163086,,,,36.47999954223633,19.377172470092773,,,,,
2020-01-22,,,,,,,,,,,,,,,,,,,,,199.6643524169922,43.39167785644531,,,,37.97066879272461,19.63875389099121,,,,,
2020-01-23,,,,,,,,,,,,,,,,,,,,,198.3390350341797,43.41320037841797,,,,38.14666748046875,19.432506561279297,,,,,
2020-01-24,,,,,,,,,,,,,,,,,,,,,196.87928771972656,43.2481803894043,,,,37.654666900634766,19.367111206054688,,,,,
2020-01-27,,,,,,,,,,,,,,,,,,,,,193.70037841796875,42.98271942138672,,,,37.201332092285156,19.241352081298828,,,,,
2020-01-28,,,,,,,,,,,,,,,,,,,,,194.8143768310547,43.54951858520508,,,,37.793331146240234,19.407352447509766,,,,,
2020-01-29,,,,,,,,,,,,,,,,,,,,,196.74478149414062,42.710086822509766,,,,38.732666015625,18.637699127197266,,,,,
2020-01-30,,,,,,,,,,,,,,,,,,,,,199.96209716796875,42.58812713623047,,,,42.72066879272461,18.828859329223633,,,,,
2020-01-31,,,,,,,,,,,,,,,,,,,,,191.08810424804688,42.64552688598633,,,,43.371334075927734,18.924436569213867,,,,,
2020-02-03,,,,,,,,,,,,,,,,,,,,,192.855224609375,41.64825439453125,,,,52.0,18.59242820739746,,,,,
2020-02-04,,,,,,,,,,,,,,,,,,,,,195.49627685546875,41.82044982910156,,,,59.137332916259766,18.929462432861328,,,,,
2020-02-05,,,,,,,,,,,,,,,,,,,,,194.77598571777344,42.42311096191406,,,,48.97999954223633,19.0200138092041,,,,,
2020-02-06,,,,,,,,,,,,,,,,,,,,,194.9968719482422,42.64552688598633,,,,49.930667877197266,19.336929321289062,,,,,
2020-02-07,,,,,,,,,,,,,,,,,,,,,194.7087860107422,43.004249572753906,,,,49.871334075927734,19.34195899963379,,,,,
2020-02-10,,,,,,,,,,,,,,,,,,,,,197.8300323486328,43.21949768066406,,,,51.41866683959961,19.286623001098633,,,,,
2020-02-11,,,,,,,,,,,,,,,,,,,,,195.86123657226562,42.107425689697266,,,,51.62533187866211,19.201107025146484,,,,,
2020-02-12,,,,,,,,,,,,,,,,,,,,,199.22259521484375,41.77740478515625,,,,51.15266799926758,19.135711669921875,,,,,
2020-02-13,,,,,,,,,,,,,,,,,,,,,199.47265625,42.078731536865234,,,,53.599998474121094,19.271533966064453,,,,,
2020-02-14,,,,,,,,,,,,,,,,,,,,,202.25213623046875,41.97828674316406,,,,53.33533477783203,19.241352081298828,,,,,
2020-02-18,,,,,,,,,,,,,,,,,,,,,203.1273956298828,41.54782485961914,,,,57.22666549682617,19.246381759643555,,,,,
2020-02-19,,,,,,,,,,,,,,,,,,,,,205.15676879882812,41.770225524902344,,,,61.16133117675781,19.336929321289062,,,,,
2020-02-20,,,,,,,,,,,,,,,,,,,,,203.3678436279297,41.67695999145508,,,,59.96066665649414,19.42244529724121,,,,,
2020-02-21,,,,,,,,,,,,,,,,,,,,,200.82876586914062,41.75587844848633,,,,60.06666564941406,19.392263412475586,,,,,
2020-02-24,,,,,,,,,,,,,,,,,,,,,191.1917724609375,41.605220794677734,,,,55.58599853515625,19.1407413482666,,,,,
2020-02-25,,,,,,,,,,,,,,,,,,,,,181.19886779785156,40.98102951049805,,,,53.32733154296875,18.78860855102539,,,,,
2020-02-26,,,,,,,,,,,,,,,,,,,,,180.05433654785156,40.99537658691406,,,,51.91999816894531,18.662853240966797,,,,,
2020-02-27,,,,,,,,,,,,,,,,,,,,,173.12954711914062,39.5030632019043,,,,45.266666412353516,17.973684310913086,,,,,
2020-02-28,,,,,,,,,,,,,,,,,,,,,174.8126983642578,38.85736083984375,,,,44.53266525268555,17.717134475708008,,,,,
2020-03-02,,,,,,,,,,,,,,,,,,,,,184.97865295410156,41.12451934814453,,,,49.574668884277344,18.703096389770508,,,,,
2020-03-03,,,,,,,,,,,,,,,,,,,,,178.6309356689453,39.962249755859375,,,,49.70066833496094,18.260419845581055,,,,,
2020-03-04,,,,,,,,,,,,,,,,,,,,,186.86375427246094,41.698482513427734,,,,49.96666717529297,19.206140518188477,,,,,
2020-03-05,,,,,,,,,,,,,,,,,,,,,179.81390380859375,41.009735107421875,,,,48.30266571044922,18.703096389770508,,,,,
2020-03-06,,,,,,,,,,,,,,,,,,,,,177.3133087158203,40.80166244506836,,,,46.89866638183594,18.627643585205078,,,,,
2020-03-09,,,,,,,,,,,,,,,,,,,,,164.5889892578125,40.05551528930664,,,,40.53333282470703,17.450519561767578,,,,,
2020-03-10,,,,,,,,,,,,,,,,,,,,,175.62057495117188,40.550559997558594,,,,43.02199935913086,18.0340518951416,,,,,
2020-03-11,,,,,,,,,,,,,,,,,,,,,166.33941650390625,39.33805847167969,,,,42.28200149536133,17.365009307861328,,,,,
2020-03-12,,,,,,,,,,,,,,,,,,,,,153.96133422851562,36.733699798583984,,,,37.369998931884766,15.760303497314453,,,,,
2020-03-13,,,,,,,,,,,,,,,,,,,,,169.10934448242188,38.86453628540039,,,,36.44133377075195,17.339853286743164,,,,,
2020-03-16,,,,,,,,,,,,,,,,,,,,,146.19976806640625,36.58302688598633,,,,29.67133331298828,16.00176429748535,,,,,
2020-03-17,,,,,,,,,,,,,,,,,,,,,151.85504150390625,38.96498107910156,,,,28.68000030517578,16.972631454467773,,,,,
2020-03-18,,,,,,,,,,,,,,,,,,,,,142.80471801757812,38.9721565246582,,,,24.08133316040039,16.524925231933594,,,,,
2020-03-19,,,,,,,,,,,,,,,,,,,,,146.4306182861328,38.469932556152344,,,,28.50933265686035,15.669753074645996,,,,,
2020-03-20,,,,,,,,,,,,,,,,,,,,,141.2177734375,37.16416549682617,,,,28.50200080871582,14.311539649963379,,,,,
2020-03-23,,,,,,,,,,,,,,,,,,,,,130.5516815185547,36.09516143798828,,,,28.952667236328125,13.466425895690918,,,,,
2020-03-24,,,,,,,,,,,,,,,,,,,,,148.6234893798828,35.86557388305664,,,,33.66666793823242,14.130446434020996,,,,,
2020-03-25,,,,,,,,,,,,,,,,,,,,,155.59634399414062,35.82970428466797,,,,35.95000076293945,14.28639030456543,,,,,
2020-03-26,,,,,,,,,,,,,,,,,,,,,162.42501831054688,38.412540435791016,,,,35.21066665649414,15.39307975769043,,,,,
2020-03-27,,,,,,,,,,,,,,,,,,,,,155.384765625,37.8600959777832,,,,34.29066848754883,15.010770797729492,,,,,
2020-03-30,,,,,,,,,,,,,,,,,,,,,159.2415008544922,39.29500961303711,,,,33.47533416748047,15.206957817077637,,,,,
2020-03-31,,,,,,,,,,,,,,,,,,,,,154.96157836914062,38.54885482788086,,,,34.93333435058594,14.663673400878906,,,,,
2020-04-01,,,,,,,,,,,,,,,,,,,,,147.2577362060547,37.96772384643555,,,,32.104000091552734,14.110326766967773,,,,,
2020-04-02,,,,,,,,,,,,,,,,,,,,,151.3741455078125,39.63938522338867,,,,30.29800033569336,14.467483520507812,,,,,
2020-04-03,,,,,,,,,,,,,,,,,,,,,146.04588317871094,39.24479293823242,,,,32.000667572021484,13.813530921936035,,,,,
2020-04-06,,,,,,,,,,,,,,,,,,,,,162.96356201171875,40.679691314697266,,,,34.41600036621094,14.809551239013672,,,,,
2020-04-07,,,,,,,,,,,,,,,,,,,,,162.14605712890625,40.880592346191406,,,,36.36333465576172,15.13149642944336,,,,,
2020-04-08,,,,,,,,,,,,,,,,,,,,,168.2533721923828,41.46889877319336,,,,36.589332580566406,15.388132095336914,,,,,
2020-04-09,,,,,,,,,,,,,,,,,,,,,167.05116271972656,41.65380859375,,,,38.20000076293945,15.820582389831543,,,,,
2020-04-13,,,,,,,,,,,,,,,,,,,,,162.53079223632812,41.095436096191406,,,,43.39666748046875,15.54257869720459,,,,,
2020-04-14,,,,,,,,,,,,,,,,,,,,,167.9456024169922,42.161434173583984,,,,47.32600021362305,16.026512145996094,,,,,
2020-04-15,,,,,,,,,,,,,,,,,,,,,159.61660766601562,41.28398132324219,,,,48.65533447265625,15.491098403930664,,,,,
2020-04-16,,,,,,,,,,,,,,,,,,,,,156.21188354492188,41.813358306884766,,,,49.680667877197266,15.52713394165039,,,,,
2020-04-17,,,,,,,,,,,,,,,,,,,,,163.05972290039062,42.393489837646484,,,,50.259334564208984,16.07799530029297,,,,,
2020-04-20,,,,,,,,,,,,,,,,,,,,,157.94308471679688,42.154178619384766,,,,49.75733184814453,15.949287414550781,,,,,
2020-04-21,,,,,,,,,,,,,,,,,,,,,154.39413452148438,41.20420837402344,,,,45.781333923339844,15.37783432006836,,,,,
2020-04-22,,,,,,,,,,,,,,,,,,,,,160.22247314453125,42.05265808105469,,,,48.807334899902344,15.171903610229492,,,,,
2020-04-23,,,,,,,,,,,,,,,,,,,,,160.02052307128906,41.762596130371094,,,,47.04199981689453,15.187346458435059,,,,,
2020-04-24,,,,,,,,,,,,,,,,,,,,,160.9246368408203,42.0091552734375,,,,48.34333419799805,15.295462608337402,,,,,
2020-04-27,,,,,,,,,,,,,,,,,,,,,165.1948699951172,41.922122955322266,,,,53.25,15.72276496887207,,,,,
2020-04-28,,,,,,,,,,,,,,,,,,,,,164.70437622070312,41.93663024902344,,,,51.27466583251953,15.779398918151855,,,,,
2020-04-29,,,,,,,,,,,,,,,,,,,,,174.841552734375,42.14693069458008,,,,53.367332458496094,16.180957794189453,,,,,
2020-04-30,,,,,,,,,,,,,,,,,,,,,171.88885498046875,41.661075592041016,,,,52.12533187866211,15.686725616455078,,,,,
2020-05-01,,,,,,,,,,,,,,,,,,,,,168.8592987060547,41.211463928222656,,,,46.75466537475586,15.393280982971191,,,,,
2020-05-04,,,,,,,,,,,,,,,,,,,,,169.4170684814453,40.78361892700195,,,,50.74599838256836,15.238832473754883,,,,,
2020-05-05,,,,,,,,,,,,,,,,,,,,,171.61961364746094,40.97940444946289,,,,51.2140007019043,15.310908317565918,,,,,
2020-05-06,,,,,,,,,,,,,,,,,,,,,171.9465789794922,40.3485107421875,,,,52.172000885009766,14.821820259094238,,,,,
