Date,NVDA
2020-02-03,5.9818644523620605
2020-02-04,6.15111780166626
2020-02-05,6.2414679527282715
2020-02-06,6.328334808349609
2020-02-07,6.26212739944458
2020-02-10,6.545377731323242
2020-02-11,6.667838096618652
2020-02-12,6.783576011657715
2020-02-13,6.739770889282227
2020-02-14,7.212934494018555
2020-02-17,7.212934494018555
2020-02-18,7.381688117980957
2020-02-19,7.832947731018066
2020-02-20,7.6836090087890625
2020-02-21,7.319464206695557
2020-02-24,6.801997184753418
2020-02-25,6.52247953414917
2020-02-26,6.661863803863525
2020-02-27,6.291027069091797
2020-02-28,6.726119041442871
2020-03-02,6.88451623916626
2020-03-03,6.6220173835754395
2020-03-04,7.085749626159668
2020-03-05,6.806314468383789
2020-03-06,6.62575101852417
2020-03-09,6.11270809173584
2020-03-10,6.502222537994385
2020-03-11,6.138359069824219
2020-03-12,5.387221336364746
2020-03-13,5.998143196105957
2020-03-16,4.891361713409424
2020-03-17,5.411128997802734
2020-03-18,5.051251411437988
2020-03-19,5.3040385246276855
2020-03-20,5.124224662780762
2020-03-23,5.297065258026123
2020-03-24,6.205852508544922
2020-03-25,6.117190361022949
2020-03-26,6.40658712387085
2020-03-27,6.2942657470703125
2020-03-30,6.614543914794922
2020-03-31,6.564982891082764
2020-04-01,6.053682327270508
2020-04-02,6.362504959106445
2020-04-03,6.074602127075195
2020-04-06,6.6845293045043945
2020-04-07,6.45116662979126
2020-04-08,6.648415565490723
2020-04-09,6.548795700073242
2020-04-10,6.548795700073242
2020-04-13,6.720639228820801
2020-04-14,7.071801662445068
2020-04-15,6.99434757232666
2020-04-16,7.339531898498535
2020-04-17,7.2802581787109375
2020-04-20,7.149007797241211
2020-04-21,6.712172508239746
2020-04-22,7.126593112945557
2020-04-23,7.073297023773193
2020-04-24,7.2122673988342285
2020-04-27,7.398805618286133
2020-04-28,7.256349563598633
2020-04-29,7.433176040649414
2020-04-30,7.279262065887451
2020-05-01,7.042663097381592
