Date,AAPL,MSFT,AMZN,GOOGL,META
2022-02-02,172.39404296875,303.8661804199219,150.6125030517578,146.98622131347656,321.02099609375
2022-02-03,169.51165771484375,292.0298767089844,138.8455047607422,142.10984802246094,236.30325317382812
2022-02-04,169.2269744873047,296.5763854980469,157.63949584960938,142.31146240234375,235.63735961914062
2022-02-07,168.51040649414062,291.7391052246094,157.9355010986328,138.2475128173828,223.53199768066406
2022-02-08,171.62222290039062,295.23858642578125,161.4134979248047,138.4441375732422,218.8309783935547
2022-02-09,173.04563903808594,301.6850280761719,161.1894989013672,140.62210083007812,230.57855224609375
2022-02-10,168.96192932128906,293.1253662109375,159.0034942626953,137.6704559326172,226.67263793945312
2022-02-11,165.54580688476562,286.0100402832031,153.2935028076172,133.36268615722656,218.204833984375
2022-02-14,165.7814178466797,285.97119140625,155.16700744628906,134.59767150878906,216.3661651611328
2022-02-15,169.61964416503906,291.27374267578125,156.510498046875,135.67274475097656,219.6459503173828
2022-02-16,169.38406372070312,290.9337463378906,158.10049438476562,136.79449462890625,215.2132568359375
2022-02-17,165.7814178466797,282.4146423339844,154.65249633789062,131.63108825683594,206.4373779296875
2022-02-18,164.23037719726562,279.6947326660156,152.60150146484375,129.509765625,204.89686584472656
2022-02-21,164.23037719726562,279.6947326660156,152.60150146484375,129.509765625,204.89686584472656
2022-02-22,161.30503845214844,279.49072265625,150.19749450683594,128.92430114746094,200.8418731689453
2022-02-23,157.13307189941406,272.2538146972656,144.82699584960938,126.71404266357422,197.23411560058594
2022-02-24,159.75404357910156,286.16424560546875,151.35800170898438,131.78207397460938,206.3280487060547
2022-02-25,161.82533264160156,288.80645751953125,153.7884979248047,133.53848266601562,209.1903839111328
2022-02-28,162.09036254882812,290.2441101074219,153.56300354003906,134.13189697265625,209.73703002929688
2022-03-01,160.20562744140625,286.5139465332031,151.14199829101562,133.1431884765625,202.24322509765625
2022-03-02,163.50396728515625,291.6040954589844,152.05250549316406,133.6497039794922,206.8349151611328
2022-03-03,163.17999267578125,287.4562072753906,147.89849853515625,132.9822998046875,201.72640991210938
2022-03-04,160.1761474609375,281.5694885253906,145.64100646972656,131.00294494628906,198.83424377441406
2022-03-07,156.37716674804688,270.9327392578125,137.4530029296875,125.51282501220703,186.32139587402344
2022-03-08,154.55130004882812,267.9602966308594,136.01449584960938,126.23385620117188,189.1240997314453
2022-03-09,159.960205078125,280.2484436035156,139.2790069580078,132.50608825683594,197.28379821777344
2022-03-10,155.61146545410156,277.4216613769531,146.8175048828125,131.52239990234375,194.0139617919922
2022-03-11,151.89102172851562,272.0595397949219,145.52450561523438,128.9809112548828,186.46054077148438
2022-03-14,147.8563995361328,268.53338623046875,141.85299682617188,125.08824920654297,185.4865264892578
2022-03-15,152.24436950683594,278.93701171875,147.3665008544922,128.31301879882812,190.8534393310547
2022-03-16,156.66183471679688,285.9700012207031,153.10400390625,132.3675537109375,202.38238525390625
2022-03-17,157.67294311523438,286.7762145996094,157.23899841308594,132.9222412109375,206.5665740966797
2022-03-18,160.97128295898438,291.8371887207031,161.25050354003906,135.19305419921875,215.16358947753906
2022-03-21,162.34561157226562,290.60357666015625,161.4915008544922,135.16921997070312,210.1942138671875
2022-03-22,165.72250366210938,295.3633728027344,164.88900756835938,138.90992736816406,215.32260131835938
2022-03-23,167.0869903564453,290.9241027832031,163.4080047607422,137.32833862304688,212.15213012695312
2022-03-24,170.87615966796875,295.4021911621094,163.64950561523438,140.60226440429688,218.22470092773438
2022-03-25,171.5142059326172,294.9941711425781,164.77349853515625,140.70257568359375,220.4609375
2022-03-28,172.3781280517578,301.8134460449219,168.99049377441406,140.48655700683594,222.2200927734375
2022-03-29,175.6764373779297,306.38873291015625,169.31500244140625,141.5293426513672,228.45166015625
2022-03-30,174.50827026367188,304.883056640625,166.30099487304688,140.96624755859375,226.4539794921875
2022-03-31,171.40626525878906,299.49176025390625,162.99749755859375,138.11489868164062,220.99761962890625
2022-04-01,171.1117706298828,300.57012939453125,163.55999755859375,139.1904754638672,223.4723663330078
2022-04-04,175.16598510742188,305.9613342285156,168.34649658203125,141.99217224121094,232.45697021484375
2022-04-05,171.84799194335938,301.9883117675781,164.05499267578125,139.6279754638672,230.4195098876953
2022-04-06,168.6772918701172,290.9337463378906,158.75599670410156,135.6126708984375,221.93186950683594
2022-04-07,168.98159790039062,292.7502746582031,157.7845001220703,134.9576873779297,221.583984375
2022-04-08,166.9691925048828,288.4761657714844,154.4604949951172,132.37449645996094,220.96780395507812
2022-04-11,162.70880126953125,277.10107421875,151.1219940185547,127.94107818603516,215.13377380371094
2022-04-12,164.58380126953125,273.9926452636719,150.78750610351562,126.83968353271484,212.82797241210938
2022-04-13,167.2734832763672,279.39361572265625,155.54100036621094,129.0042266845703,213.67276000976562
2022-04-14,162.2572479248047,271.826416015625,151.7064971923828,125.86193084716797,208.8922119140625
2022-04-15,162.2572479248047,271.826416015625,151.7064971923828,125.86193084716797,208.8922119140625
2022-04-18,162.04129028320312,272.49658203125,152.78500366210938,126.80194091796875,209.47862243652344
2022-04-19,164.3285675048828,277.1398620605469,158.11549377441406,129.11846923828125,215.9785614013672
2022-04-20,164.16165161132812,278.16961669921875,153.9980010986328,127.16294860839844,199.19203186035156
2022-04-21,163.3665008544922,272.7783508300781,148.29600524902344,123.95953369140625,186.91773986816406
2022-04-22,158.8214569091797,266.1923828125,144.35000610351562,118.8160171508789,182.98196411132812
2022-04-25,159.89146423339844,272.69091796875,146.07400512695312,122.23096466064453,185.84434509277344
2022-04-26,153.92303466796875,262.4912414550781,139.39100646972656,117.83726501464844,179.84133911132812
2022-04-27,153.69725036621094,275.11944580078125,138.16700744628906,113.51158905029297,173.8780975341797
2022-04-28,160.6375274658203,281.3460693359375,144.59649658203125,117.71063232421875,204.46949768066406
2022-04-29,154.75743103027344,269.58245849609375,124.28150177001953,113.3278579711914,199.24176025390625
2022-05-02,155.061767578125,276.33367919921875,124.5,115.784423828125,209.83642578125
2022-05-03,156.55386352539062,273.7206726074219,124.25350189208984,116.5302734375,210.7309112548828
2022-05-04,162.97384643554688,281.68609619140625,125.92849731445312,121.42353820800781,222.04116821289062
2022-05-05,153.8936004638672,269.4173278808594,116.40699768066406,115.70746612548828,207.00387573242188
2022-05-06,154.62103271484375,266.8722839355469,114.77249908447266,114.95365142822266,202.52149963378906
2022-05-09,149.4893341064453,257.01251220703125,108.78900146484375,111.74031829833984,195.00782775878906
2022-05-10,151.8979034423828,261.7918395996094,108.85900115966797,113.61139678955078,196.4390106201172
2022-05-11,144.02330017089844,253.09779357910156,105.37200164794922,112.82433319091797,187.58360290527344
2022-05-12,140.14993286132812,248.0465850830078,106.93049621582031,112.07103729248047,190.0683135986328
2022-05-13,144.6230010986328,253.65155029296875,113.05500030517578,115.25557708740234,197.40304565429688
2022-05-16,143.0795440673828,254.02066040039062,110.81050109863281,113.66107177734375,198.81434631347656
2022-05-17,146.71701049804688,259.1885070800781,115.36849975585938,115.6751708984375,201.37857055664062
2022-05-18,138.43934631347656,247.3877410888672,107.11250305175781,111.13300323486328,191.0621795654297
2022-05-19,135.02804565429688,246.4724578857422,107.31900024414062,109.62788391113281,190.11798095703125
2022-05-20,135.2639617919922,245.90777587890625,107.59100341796875,108.16199493408203,192.3541717529297
2022-05-23,140.69061279296875,253.78466796875,107.55699920654297,110.72432708740234,195.02769470214844
2022-05-24,137.9871368408203,252.7818145751953,104.0999984741211,105.24412536621094,180.16929626464844
2022-05-25,138.14442443847656,255.60545349121094,106.7750015258789,105.08023834228516,182.7036895751953
2022-05-26,141.34930419921875,258.89642333984375,111.07749938964844,107.05413818359375,190.45590209960938
2022-05-27,147.1102294921875,266.0430908203125,115.14649963378906,111.5471420288086,193.9344482421875
2022-05-30,147.1102294921875,266.0430908203125,115.14649963378906,111.5471420288086,193.9344482421875
2022-05-31,146.3237762451172,264.70916748046875,120.20950317382812,112.98274230957031,192.45359802246094
2022-06-01,146.19595336914062,265.2446594238281,121.68399810791016,113.11186218261719,187.48422241210938
2022-06-02,148.6536865234375,267.3477783203125,125.51100158691406,116.81680297851562,197.64158630371094
2022-06-03,142.92227172851562,262.9079284667969,122.3499984741211,113.75640869140625,189.61111450195312
2022-06-06,143.66940307617188,261.67132568359375,124.79000091552734,116.02029418945312,193.0598602294922
2022-06-07,146.19595336914062,265.3225402832031,123.0,116.3470458984375,194.45126342773438
2022-06-08,145.45864868164062,263.2876281738281,121.18000030517578,116.39122772216797,195.43521118164062
2022-06-09,140.2285919189453,257.815673828125,116.1500015258789,114.04888916015625,182.87265014648438
2022-06-10,134.8117218017578,246.32643127441406,109.6500015258789,110.40006256103516,174.4943084716797
2022-06-13,129.6505126953125,235.8790740966797,103.66999816894531,105.66373443603516,163.25357055664062
2022-06-14,130.51560974121094,238.05032348632812,102.30999755859375,105.98451232910156,162.72683715820312
2022-06-15,133.14044189453125,245.1288299560547,107.66999816894531,109.01262664794922,168.31243896484375
2022-06-16,127.86124420166016,238.51768493652344,103.66000366210938,105.30718994140625,159.8843536376953
2022-06-17,129.33587646484375,241.1270751953125,106.22000122070312,106.40958404541016,162.73678588867188
2022-06-20,129.33587646484375,241.1270751953125,106.22000122070312,106.40958404541016,162.73678588867188
2022-06-21,133.5730438232422,247.0567169189453,108.68000030517578,110.77993774414062,156.08775329589844
2022-06-22,133.0618133544922,246.4627685546875,108.94999694824219,110.72383117675781,154.89511108398438
2022-06-23,135.9324493408203,252.0418243408203,112.44000244140625,111.47315216064453,157.77734375
2022-06-24,139.26513671875,260.6489562988281,116.45999908447266,117.16688537597656,169.11744689941406
2022-06-27,139.26513671875,257.91302490234375,113.22000122070312,115.04006958007812,168.45152282714844
2022-06-28,135.1165008544922,249.72451782226562,107.4000015258789,111.24026489257812,159.69552612304688
2022-06-29,136.87620544433594,253.40493774414062,108.91999816894531,110.93636322021484,162.935546875
2022-06-30,134.40863037109375,250.06527709960938,106.20999908447266,108.21661376953125,160.26202392578125
2022-07-01,136.58126831054688,252.74285888671875,109.55999755859375,107.99266052246094,159.0495147705078
2022-07-04,136.58126831054688,252.74285888671875,109.55999755859375,107.99266052246094,159.0495147705078
2022-07-05,139.16683959960938,255.9267578125,113.5,112.4871597290039,167.15951538085938
2022-07-06,140.5038299560547,259.1982116699219,114.33000183105469,113.78720092773438,168.72984313964844
2022-07-07,143.87588500976562,261.3305358886719,116.33000183105469,117.96934509277344,171.135009765625
2022-07-08,144.55418395996094,260.6100769042969,115.54000091552734,118.53594207763672,169.83303833007812
2022-07-11,142.42088317871094,257.5429992675781,111.75,114.8841323852539,161.8820343017578
2022-07-12,143.39414978027344,246.98854064941406,109.22000122070312,113.2394790649414,162.26966857910156
2022-07-13,143.03041076660156,246.0635528564453,110.4000015258789,110.59074401855469,162.4883270263672
2022-07-14,145.9600067138672,247.3877410888672,110.62999725341797,109.61150360107422,157.08163452148438
2022-07-15,147.63128662109375,249.95819091796875,113.55000305175781,111.01183319091797,163.69088745117188
2022-07-18,144.5836944580078,247.5532684326172,113.76000213623047,108.28316497802734,166.2053985595703
2022-07-19,148.44723510742188,252.69415283203125,118.20999908447266,113.03041076660156,174.70298767089844
2022-07-20,150.45274353027344,255.36199951171875,122.7699966430664,113.11981201171875,181.96820068359375
2022-07-21,152.72373962402344,257.8642883300781,124.62999725341797,113.5567855834961,182.04771423339844
2022-07-22,151.4849853515625,253.50228881835938,122.41999816894531,107.1609115600586,168.23289489746094
2022-07-25,150.36424255371094,252.01263427734375,121.13999938964844,106.77356719970703,165.62893676757812
2022-07-26,149.03709411621094,245.26516723632812,114.80999755859375,104.30062103271484,158.17491149902344
2022-07-27,154.13934326171875,261.6615905761719,120.97000122070312,112.28555297851562,168.541015625
2022-07-28,154.68988037109375,269.12957763671875,122.27999877929688,113.43761444091797,159.7352752685547
2022-07-29,159.7626495361328,273.34552001953125,134.9499969482422,115.52322387695312,158.12521362304688
2022-08-01,158.77957153320312,270.6874694824219,135.38999938964844,114.07322692871094,158.95010375976562
2022-08-02,157.3048858642578,267.58148193359375,134.16000366210938,114.34136962890625,159.20852661132812
2022-08-03,163.3214569091797,275.0299377441406,139.52000427246094,117.27117156982422,167.76576232910156
2022-08-04,163.0068359375,276.1788330078125,142.57000732421875,117.38041687011719,169.52491760253906
2022-08-05,162.78045654296875,275.4583740234375,140.8000030517578,116.66533660888672,166.08612060546875
2022-08-08,162.30789184570312,272.9366149902344,139.41000366210938,116.49651336669922,169.20687866210938
2022-08-09,162.3571319580078,274.86444091796875,137.8300018310547,115.83110046386719,167.4974365234375
2022-08-10,166.6100311279297,281.54376220703125,142.69000244140625,118.88006591796875,177.247314453125
2022-08-11,165.87164306640625,279.4601135253906,140.63999938964844,118.02595520019531,176.4025115966797
