Date,AAPL,MSFT,NVDA,AMZN,GOOGL,META,BRK-B,JPM,JNJ,V,PEP,XOM,PG,AVGO,COST,HD,BAC,LLY,CVX,KO,MRK,WMT,PFE,ORCL,ADBE,CSCO,DIS,NFLX,CRM
2025-02-03,,,,,,,,,,344.0612487792969,,,,,,,,,,,,,,,,,,,
2025-02-04,,,,,,,,,,343.3946533203125,,,,,,,,,,,,,,,,,,,
2025-02-05,,,,,,,,,,347.662841796875,,,,,,,,,,,,,,,,,,,
2025-02-06,,,,,,,,,,345.71282958984375,,,,,,,,,,,,,,,,,,,
2025-02-07,,,,,,,,,,346.25006103515625,,,,,,,,,,,,,,,,,,,
2025-02-10,,,,,,,,,,349.44378662109375,,,,,,,,,,,,,,,,,,,
2025-02-11,,,,,,,,,,349.5234680175781,,,,,,,,,,,,,,,,,,,
2025-02-12,,,,,,,,,,350.2908630371094,,,,,,,,,,,,,,,,,,,
2025-02-13,,,,,,,,,,354.416748046875,,,,,,,,,,,,,,,,,,,
2025-02-14,,,,,,,,,,352.6029357910156,,,,,,,,,,,,,,,,,,,
2025-02-18,,,,,,,,,,355.51300048828125,,,,,,,,,,,,,,,,,,,
2025-02-19,,,,,,,,,,354.0180969238281,,,,,,,,,,,,,,,,,,,
2025-02-20,,,,,,,,,,349.29425048828125,,,,,,,,,,,,,,,,,,,
2025-02-21,,,,,,,,,,347.3409423828125,,,,,,,,,,,,,,,,,,,
2025-02-24,,,,,,,,,,348.6664123535156,,,,,,,,,,,,,,,,,,,
2025-02-25,,,,,,,,,,350.8887939453125,,,,,,,,,,,,,,,,,,,
2025-02-26,,,,,,,,,,349.43377685546875,,,,,,,,,,,,,,,,,,,
2025-02-27,,,,,,,,,,354.5263671875,,,,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,361.4725646972656,,,,,,,,,,,,,,,,,,,
2025-03-03,,,,,,,,,,360.5856018066406,,,,,,,,,,,,,,,,,,,
2025-03-04,,,,,,,,,,351.0283203125,,,,,,,,,,,,,,,,,,,
2025-03-05,,,,,,,,,,351.476806640625,,,,,,,,,,,,,,,,,,,
2025-03-06,,,,,,,,,,342.9858703613281,,,,,,,,,,,,,,,,,,,
2025-03-07,,,,,,,,,,344.14190673828125,,,,,,,,,,,,,,,,,,,
2025-03-10,,,,,,,,,,340.31500244140625,,,,,,,,,,,,,,,,,,,
2025-03-11,,,,,,,,,,331.00689697265625,,,,,,,,,,,,,,,,,,,
2025-03-12,,,,,,,,,,331.7044982910156,,,,,,,,,,,,,,,,,,,
2025-03-13,,,,,,,,,,327.4291076660156,,,,,,,,,,,,,,,,,,,
2025-03-14,,,,,,,,,,330.6679992675781,,,,,,,,,,,,,,,,,,,
2025-03-17,,,,,,,,,,333.40863037109375,,,,,,,,,,,,,,,,,,,
2025-03-18,,,,,,,,,,333.6278991699219,,,,,,,,,,,,,,,,,,,
2025-03-19,,,,,,,,,,338.71051025390625,,,,,,,,,,,,,,,,,,,
2025-03-20,,,,,,,,,,338.3417663574219,,,,,,,,,,,,,,,,,,,
2025-03-21,,,,,,,,,,334.514892578125,,,,,,,,,,,,,,,,,,,
2025-03-24,,,,,,,,,,342.6968688964844,,,,,,,,,,,,,,,,,,,
2025-03-25,,,,,,,,,,343.4443054199219,,,,,,,,,,,,,,,,,,,
2025-03-26,,,,,,,,,,343.00579833984375,,,,,,,,,,,,,,,,,,,
2025-03-27,,,,,,,,,,348.6664123535156,,,,,,,,,,,,,,,,,,,
2025-03-28,,,,,,,,,,341.6803283691406,,,,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,349.26434326171875,,,,,,,,,,,,,,,,,,,
2025-04-01,,,,,,,,,,345.16839599609375,,,,,,,,,,,,,,,,,,,
2025-04-02,,,,,,,,,,345.1484375,,,,,,,,,,,,,,,,,,,
2025-04-03,,,,,,,,,,338.2321472167969,,,,,,,,,,,,,,,,,,,
2025-04-04,,,,,,,,,,312.0617370605469,,,,,,,,,,,,,,,,,,,
2025-04-07,,,,,,,,,,311.2545166015625,,,,,,,,,,,,,,,,,,,
2025-04-08,,,,,,,,,,307.2182922363281,,,,,,,,,,,,,,,,,,,
2025-04-09,,,,,,,,,,331.2958679199219,,,,,,,,,,,,,,,,,,,
2025-04-10,,,,,,,,,,323.5025634765625,,,,,,,,,,,,,,,,,,,
2025-04-11,,,,,,,,,,332.2625427246094,,,,,,,,,,,,,,,,,,,
2025-04-14,,,,,,,,,,334.0364990234375,,,,,,,,,,,,,,,,,,,
2025-04-15,,,,,,,,,,334.6643371582031,,,,,,,,,,,,,,,,,,,
2025-04-16,,,,,,,,,,330.1996154785156,,,,,,,,,,,,,,,,,,,
2025-04-17,,,,,,,,,,328.4854736328125,,,,,,,,,,,,,,,,,,,
