Date,AAPL,MSFT,AMZN,GOOGL,META
2022-02-02,172.39404296875,303.8662109375,150.6125030517578,146.98623657226562,321.02099609375
2022-02-03,169.51165771484375,292.0298767089844,138.8455047607422,142.10983276367188,236.30325317382812
2022-02-04,169.2269744873047,296.57635498046875,157.63949584960938,142.31146240234375,235.63735961914062
2022-02-07,168.5103759765625,291.73907470703125,157.9355010986328,138.24749755859375,223.531982421875
2022-02-08,171.62222290039062,295.23858642578125,161.4134979248047,138.44415283203125,218.8309783935547
2022-02-09,173.0456085205078,301.68505859375,161.1894989013672,140.6221160888672,230.5785675048828
2022-02-10,168.9619598388672,293.1253356933594,159.0034942626953,137.67047119140625,226.67263793945312
2022-02-11,165.54579162597656,286.0099182128906,153.2935028076172,133.36268615722656,218.20481872558594
2022-02-14,165.78138732910156,285.9712219238281,155.16700744628906,134.59765625,216.3661651611328
2022-02-15,169.61964416503906,291.2737731933594,156.510498046875,135.67276000976562,219.6459503173828
2022-02-16,169.384033203125,290.93377685546875,158.10049438476562,136.79452514648438,215.21327209472656
2022-02-17,165.78138732910156,282.41461181640625,154.65249633789062,131.63113403320312,206.43740844726562
2022-02-18,164.23036193847656,279.6946716308594,152.60150146484375,129.50975036621094,204.89686584472656
2022-02-21,164.23036193847656,279.6946716308594,152.60150146484375,129.50975036621094,204.89686584472656
2022-02-22,161.30506896972656,279.4906921386719,150.19749450683594,128.92430114746094,200.8418731689453
2022-02-23,157.13302612304688,272.25384521484375,144.82699584960938,126.71403503417969,197.23411560058594
2022-02-24,159.75404357910156,286.1641845703125,151.35800170898438,131.78207397460938,206.3280487060547
2022-02-25,161.82533264160156,288.8064270019531,153.7884979248047,133.53848266601562,209.19039916992188
2022-02-28,162.09034729003906,290.244140625,153.56300354003906,134.1318817138672,209.73704528808594
2022-03-01,160.20559692382812,286.513916015625,151.14199829101562,133.1431884765625,202.2432403564453
2022-03-02,163.50396728515625,291.60406494140625,152.05250549316406,133.6497039794922,206.83493041992188
2022-03-03,163.1800079345703,287.4562072753906,147.89849853515625,132.98231506347656,201.72640991210938
2022-03-04,160.17617797851562,281.56951904296875,145.64100646972656,131.00294494628906,198.8342742919922
2022-03-07,156.3771209716797,270.9327087402344,137.4530029296875,125.51283264160156,186.3214111328125
2022-03-08,154.55130004882812,267.9601135253906,136.01449584960938,126.23384857177734,189.1240997314453
2022-03-09,159.960205078125,280.2483825683594,139.2790069580078,132.506103515625,197.2838134765625
2022-03-10,155.61146545410156,277.421630859375,146.8175048828125,131.5223846435547,194.01397705078125
2022-03-11,151.89100646972656,272.0595397949219,145.52450561523438,128.98089599609375,186.4605255126953
2022-03-14,147.85641479492188,268.5333557128906,141.85299682617188,125.0882568359375,185.48654174804688
2022-03-15,152.24440002441406,278.9370422363281,147.3665008544922,128.31301879882812,190.8534393310547
2022-03-16,156.66184997558594,285.9700012207031,153.10400390625,132.3675537109375,202.3823699951172
2022-03-17,157.67295837402344,286.7762145996094,157.23899841308594,132.92222595214844,206.5665740966797
2022-03-18,160.97129821777344,291.8371887207031,161.25050354003906,135.19308471679688,215.16358947753906
2022-03-21,162.34561157226562,290.6035461425781,161.4915008544922,135.1692352294922,210.19424438476562
2022-03-22,165.72251892089844,295.3633728027344,164.88900756835938,138.909912109375,215.3225860595703
2022-03-23,167.0869903564453,290.924072265625,163.4080047607422,137.32833862304688,212.1521453857422
2022-03-24,170.8761749267578,295.4021911621094,163.64950561523438,140.60226440429688,218.22471618652344
2022-03-25,171.51426696777344,294.9942321777344,164.77349853515625,140.70257568359375,220.4609375
2022-03-28,172.37808227539062,301.8134765625,168.99049377441406,140.48655700683594,222.22006225585938
2022-03-29,175.67645263671875,306.3887023925781,169.31500244140625,141.52935791015625,228.45166015625
2022-03-30,174.50828552246094,304.8830261230469,166.30099487304688,140.9662628173828,226.4539794921875
2022-03-31,171.40625,299.4918518066406,162.99749755859375,138.1149139404297,220.99761962890625
2022-04-01,171.1117706298828,300.5700988769531,163.55999755859375,139.19049072265625,223.47238159179688
2022-04-04,175.16595458984375,305.9613037109375,168.34649658203125,141.99217224121094,232.4569854736328
2022-04-05,171.8480224609375,301.9882507324219,164.05499267578125,139.62799072265625,230.41952514648438
2022-04-06,168.67726135253906,290.93377685546875,158.75599670410156,135.61265563964844,221.93185424804688
2022-04-07,168.9815673828125,292.750244140625,157.7845001220703,134.9576873779297,221.583984375
2022-04-08,166.9691925048828,288.4761047363281,154.4604949951172,132.37449645996094,220.96780395507812
2022-04-11,162.70883178710938,277.1011047363281,151.1219940185547,127.94109344482422,215.1337432861328
2022-04-12,164.5837860107422,273.9926452636719,150.78750610351562,126.83966827392578,212.82798767089844
2022-04-13,167.27349853515625,279.3935852050781,155.54100036621094,129.00424194335938,213.6727752685547
2022-04-14,162.2572784423828,271.8263854980469,151.7064971923828,125.86192321777344,208.89222717285156
2022-04-15,162.2572784423828,271.8263854980469,151.7064971923828,125.86192321777344,208.89222717285156
2022-04-18,162.04132080078125,272.4966735839844,152.78500366210938,126.80193328857422,209.47865295410156
2022-04-19,164.3285369873047,277.1399230957031,158.11549377441406,129.1184539794922,215.9785614013672
2022-04-20,164.16163635253906,278.16961669921875,153.9980010986328,127.16293334960938,199.19204711914062
2022-04-21,163.3665008544922,272.7783508300781,148.29600524902344,123.95954132080078,186.91770935058594
2022-04-22,158.82147216796875,266.1922607421875,144.35000610351562,118.8160171508789,182.98196411132812
2022-04-25,159.89149475097656,272.69091796875,146.07400512695312,122.23095703125,185.84434509277344
2022-04-26,153.9230499267578,262.4912414550781,139.39100646972656,117.83726501464844,179.84133911132812
2022-04-27,153.697265625,275.1194152832031,138.16700744628906,113.5115966796875,173.87808227539062
2022-04-28,160.6375274658203,281.34613037109375,144.59649658203125,117.71063995361328,204.46949768066406
2022-04-29,154.75743103027344,269.58251953125,124.28150177001953,113.32787322998047,199.24172973632812
2022-05-02,155.06175231933594,276.33367919921875,124.5,115.784423828125,209.83642578125
2022-05-03,156.5538330078125,273.7206115722656,124.25350189208984,116.53028106689453,210.73089599609375
2022-05-04,162.97389221191406,281.6861267089844,125.92849731445312,121.42353820800781,222.04115295410156
2022-05-05,153.89361572265625,269.4173583984375,116.40699768066406,115.70744323730469,207.00389099121094
2022-05-06,154.62106323242188,266.8722229003906,114.77249908447266,114.95365142822266,202.5215301513672
2022-05-09,149.48931884765625,257.0126037597656,108.78900146484375,111.74031829833984,195.00784301757812
2022-05-10,151.8979034423828,261.7917785644531,108.85900115966797,113.61139678955078,196.43902587890625
2022-05-11,144.02333068847656,253.0978240966797,105.37200164794922,112.8243408203125,187.5836181640625
2022-05-12,140.14993286132812,248.04656982421875,106.93049621582031,112.07103729248047,190.06829833984375
2022-05-13,144.62301635742188,253.65158081054688,113.05500030517578,115.25557708740234,197.40306091308594
2022-05-16,143.0795440673828,254.02061462402344,110.81050109863281,113.66107177734375,198.81436157226562
2022-05-17,146.71702575683594,259.1885070800781,115.36849975585938,115.6751708984375,201.37857055664062
2022-05-18,138.43931579589844,247.3877410888672,107.11250305175781,111.13301086425781,191.06214904785156
2022-05-19,135.0279998779297,246.4724884033203,107.31900024414062,109.62788391113281,190.11798095703125
2022-05-20,135.26393127441406,245.9077606201172,107.59100341796875,108.1619873046875,192.3542022705078
2022-05-23,140.6906280517578,253.78468322753906,107.55699920654297,110.72432708740234,195.0277099609375
2022-05-24,137.98715209960938,252.7818145751953,104.0999984741211,105.2441177368164,180.16932678222656
2022-05-25,138.14439392089844,255.60540771484375,106.7750015258789,105.08026123046875,182.70367431640625
2022-05-26,141.3493194580078,258.8963317871094,111.07749938964844,107.05414581298828,190.45590209960938
2022-05-27,147.11024475097656,266.0430908203125,115.14649963378906,111.5471420288086,193.9344482421875
2022-05-30,147.11024475097656,266.0430908203125,115.14649963378906,111.5471420288086,193.9344482421875
2022-05-31,146.32374572753906,264.7091369628906,120.20950317382812,112.98275756835938,192.4535675048828
2022-06-01,146.19595336914062,265.24468994140625,121.68399810791016,113.11184692382812,187.48422241210938
2022-06-02,148.6536865234375,267.3477478027344,125.51100158691406,116.81678771972656,197.6416015625
2022-06-03,142.92225646972656,262.90789794921875,122.3499984741211,113.75640106201172,189.61109924316406
2022-06-06,143.6693878173828,261.6712951660156,124.79000091552734,116.02029418945312,193.05982971191406
2022-06-07,146.19595336914062,265.32257080078125,123.0,116.34703826904297,194.45126342773438
2022-06-08,145.45864868164062,263.2876281738281,121.18000030517578,116.3912353515625,195.43521118164062
2022-06-09,140.2285614013672,257.815673828125,116.1500015258789,114.04889678955078,182.8726348876953
2022-06-10,134.8117218017578,246.3264617919922,109.6500015258789,110.40005493164062,174.49429321289062
2022-06-13,129.65048217773438,235.8790740966797,103.66999816894531,105.66373443603516,163.2535858154297
2022-06-14,130.51560974121094,238.05032348632812,102.30999755859375,105.98451232910156,162.72683715820312
