Date,NVDA
2022-02-02,25.194602966308594
2022-02-03,23.90302848815918
2022-02-04,24.273332595825195
2022-02-07,24.681568145751953
2022-02-08,25.06085205078125
2022-02-09,26.65485191345215
2022-02-10,25.77550506591797
2022-02-11,23.904027938842773
2022-02-14,24.221431732177734
2022-02-15,26.44524574279785
2022-02-16,26.461217880249023
2022-02-17,24.460981369018555
2022-02-18,23.597606658935547
2022-02-21,23.597606658935547
2022-02-22,23.3460750579834
2022-02-23,22.34496307373047
2022-02-24,23.703407287597656
2022-02-25,24.111637115478516
2022-02-28,24.339210510253906
2022-03-01,23.43291664123535
2022-03-02,24.178638458251953
2022-03-03,23.67350196838379
2022-03-04,22.89682960510254
2022-03-07,21.315532684326172
2022-03-08,21.477262496948242
2022-03-09,22.974693298339844
2022-03-10,22.61930274963379
2022-03-11,22.062257766723633
2022-03-14,21.29357147216797
2022-03-15,22.93376350402832
2022-03-16,24.45417022705078
2022-03-17,24.72370719909668
2022-03-18,26.40782356262207
2022-03-21,26.68834686279297
2022-03-22,26.478700637817383
2022-03-23,25.590221405029297
2022-03-24,28.1019287109375
2022-03-25,27.64470863342285
2022-03-28,28.170808792114258
2022-03-29,28.6070613861084
2022-03-30,27.642717361450195
2022-03-31,27.23940086364746
2022-04-01,26.666385650634766
2022-04-04,27.31328010559082
2022-04-05,25.88671875
2022-04-06,24.365320205688477
2022-04-07,24.16666030883789
2022-04-08,23.07952117919922
2022-04-11,21.87957000732422
2022-04-12,21.46727752685547
2022-04-13,22.165081024169922
2022-04-14,21.221696853637695
2022-04-15,21.221696853637695
2022-04-18,21.745803833007812
2022-04-19,22.16008949279785
2022-04-20,21.445310592651367
2022-04-21,20.148534774780273
2022-04-22,19.481672286987305
2022-04-25,19.868013381958008
2022-04-26,18.75591468811035
2022-04-27,18.3835506439209
2022-04-28,19.748218536376953
2022-04-29,18.51532745361328
2022-05-02,19.499643325805664
2022-05-03,19.568527221679688
2022-05-04,20.299274444580078
2022-05-05,18.81181526184082
2022-05-06,18.643108367919922
2022-05-09,16.921052932739258
2022-05-10,17.564952850341797
2022-05-11,16.601600646972656
2022-05-12,16.147377014160156
2022-05-13,17.675762176513672
2022-05-16,17.23451805114746
2022-05-17,18.145959854125977
2022-05-18,16.909076690673828
2022-05-19,17.09475326538086
2022-05-20,16.66549301147461
2022-05-23,16.869140625
2022-05-24,16.12641143798828
2022-05-25,16.946008682250977
2022-05-26,17.82051658630371
2022-05-27,18.77887535095215
2022-05-30,18.77887535095215
2022-05-31,18.640113830566406
2022-06-01,18.288719177246094
2022-06-02,19.558542251586914
2022-06-03,18.688032150268555
2022-06-06,18.75391387939453
2022-06-07,18.893680572509766
2022-06-08,18.620094299316406
2022-06-09,18.020986557006836
2022-06-10,16.948598861694336
2022-06-13,15.62358283996582
2022-06-14,15.812299728393555
2022-06-15,16.50226593017578
2022-06-16,15.57765007019043
2022-06-17,15.856234550476074
2022-06-20,15.856234550476074
2022-06-21,16.54120445251465
2022-06-22,16.335514068603516
2022-06-23,16.200716018676758
2022-06-24,17.10036849975586
2022-06-27,16.843753814697266
2022-06-28,15.958081245422363
2022-06-29,15.518738746643066
2022-06-30,15.136310577392578
2022-07-01,14.501263618469238
2022-07-04,14.501263618469238
2022-07-05,14.941603660583496
2022-07-06,15.107355117797852
2022-07-07,15.834266662597656
2022-07-08,15.81429672241211
2022-07-11,15.12932300567627
2022-07-12,15.059427261352539
2022-07-13,15.141304016113281
2022-07-14,15.348991394042969
2022-07-15,15.738409996032715
2022-07-18,16.076900482177734
2022-07-19,16.966571807861328
2022-07-20,17.780345916748047
2022-07-21,18.02298355102539
2022-07-22,17.293081283569336
2022-07-25,16.998523712158203
2022-07-26,16.508256912231445
2022-07-27,17.763376235961914
2022-07-28,17.95708465576172
2022-07-29,18.135814666748047
2022-08-01,18.41339874267578
2022-08-02,18.498271942138672
2022-08-03,18.864723205566406
2022-08-04,19.186241149902344
2022-08-05,18.960580825805664
2022-08-08,17.76636505126953
2022-08-09,17.060426712036133
2022-08-10,18.069910049438477
2022-08-11,17.915143966674805
2022-08-12,18.68099594116211
2022-08-15,19.00351333618164
2022-08-16,18.85074806213379
2022-08-17,18.307558059692383
2022-08-18,18.744901657104492
2022-08-19,17.822284698486328
2022-08-22,17.00850486755371
2022-08-23,17.15528678894043
2022-08-24,17.196224212646484
2022-08-25,17.886186599731445
2022-08-26,16.235666275024414
2022-08-29,15.777348518371582
2022-08-30,15.444849014282227
2022-08-31,15.071407318115234
2022-09-01,13.916143417358398
2022-09-02,13.62657642364502
2022-09-05,13.62657642364502
2022-09-06,13.444846153259277
2022-09-07,13.697543144226074
2022-09-08,13.973213195800781
2022-09-09,14.369736671447754
2022-09-12,14.487594604492188
2022-09-13,13.115243911743164
2022-09-14,13.112247467041016
2022-09-15,12.913483619689941
2022-09-16,13.18216323852539
2022-09-19,13.365942001342773
2022-09-20,13.160188674926758
2022-09-21,13.245087623596191
2022-09-22,12.545927047729492
2022-09-23,12.500981330871582
2022-09-26,12.213325500488281
2022-09-27,12.39810562133789
2022-09-28,12.720717430114746
2022-09-29,12.205336570739746
2022-09-30,12.124431610107422
2022-10-03,12.496986389160156
2022-10-04,13.151200294494629
2022-10-05,13.19314956665039
2022-10-06,13.114245414733887
2022-10-07,12.061509132385254
2022-10-10,11.65599536895752
2022-10-11,11.57209587097168
2022-10-12,11.486201286315918
2022-10-13,11.945649147033691
2022-10-14,11.21352767944336
2022-10-17,11.873734474182129
2022-10-18,11.952641487121582
2022-10-19,12.036540985107422
2022-10-20,12.179365158081055
2022-10-21,12.451040267944336
2022-10-24,12.583882331848145
2022-10-25,13.245087623596191
2022-10-26,12.880524635314941
2022-10-27,13.160188674926758
2022-10-28,13.817398071289062
2022-10-31,13.480801582336426
2022-11-01,13.526749610900879
2022-11-02,13.203137397766113
2022-11-03,13.404895782470703
2022-11-04,14.139012336730957
2022-11-07,14.283839225769043
2022-11-08,14.584479331970215
2022-11-09,13.759469032287598
2022-11-10,15.731101036071777
2022-11-11,16.30740737915039
2022-11-14,16.27544593811035
2022-11-15,16.6460018157959
2022-11-16,15.890910148620605
2022-11-17,15.658186912536621
2022-11-18,15.390508651733398
2022-11-21,15.298622131347656
2022-11-22,16.01875877380371
2022-11-23,16.499176025390625
2022-11-24,16.499176025390625
2022-11-25,16.250476837158203
2022-11-28,15.808009147644043
2022-11-29,15.620233535766602
2022-11-30,16.907020568847656
2022-12-01,17.118816375732422
2022-12-02,16.860063552856445
2022-12-05,16.594314575195312
2022-12-06,15.971900939941406
2022-12-07,16.104778289794922
2022-12-08,17.152786254882812
2022-12-09,16.984939575195312
2022-12-12,17.518436431884766
2022-12-13,18.054933547973633
2022-12-14,17.65730857849121
2022-12-15,16.93598747253418
2022-12-16,16.55535125732422
2022-12-19,16.238645553588867
2022-12-20,16.069807052612305
2022-12-21,16.485414505004883
2022-12-22,15.324512481689453
2022-12-23,15.191638946533203
2022-12-26,15.191638946533203
2022-12-27,14.10766315460205
2022-12-28,14.022743225097656
2022-12-29,14.589208602905273
2022-12-30,14.600196838378906
2023-01-02,14.600196838378906
2023-01-03,14.30147933959961
2023-01-04,14.73507022857666
2023-01-05,14.251527786254883
2023-01-06,14.844965934753418
2023-01-09,15.613238334655762
2023-01-10,15.893976211547852
2023-01-11,15.985886573791504
2023-01-12,16.495407104492188
2023-01-13,16.88304328918457
2023-01-16,16.88304328918457
2023-01-17,17.685283660888672
2023-01-18,17.36058807373047
2023-01-19,16.74916648864746
2023-01-20,17.822153091430664
2023-01-23,19.174875259399414
2023-01-24,19.246807098388672
2023-01-25,19.30474853515625
2023-01-26,19.78329849243164
2023-01-27,20.345766067504883
2023-01-30,19.143903732299805
2023-01-31,19.518550872802734
2023-02-01,20.923221588134766
2023-02-02,21.688493728637695
2023-02-03,21.0800724029541
2023-02-06,21.069082260131836
2023-02-07,22.15205955505371
2023-02-08,22.18402862548828
2023-02-09,22.315902709960938
2023-02-10,21.244916915893555
2023-02-13,21.767423629760742
2023-02-14,22.94930648803711
2023-02-15,22.74249839782715
2023-02-16,21.981220245361328
2023-02-17,21.367801666259766
2023-02-20,21.367801666259766
2023-02-21,20.63549041748047
2023-02-22,20.734397888183594
2023-02-23,23.641651153564453
2023-02-24,23.264009475708008
2023-02-27,23.478803634643555
2023-02-28,23.194076538085938
2023-03-01,22.676563262939453
2023-03-02,23.29197883605957
2023-03-03,23.86743927001953
2023-03-06,23.531755447387695
2023-03-07,23.269954681396484
2023-03-08,24.162263870239258
2023-03-09,23.417842864990234
2023-03-10,22.947208404541016
2023-03-13,22.94820785522461
2023-03-14,24.044357299804688
2023-03-15,24.209228515625
2023-03-16,25.521211624145508
2023-03-17,25.70507049560547
2023-03-20,25.879932403564453
2023-03-21,26.178701400756836
2023-03-22,26.447494506835938
2023-03-23,27.169931411743164
2023-03-24,26.75825309753418
2023-03-27,26.510446548461914
2023-03-28,26.38953971862793
2023-03-29,26.963092803955078
2023-03-30,27.361785888671875
2023-03-31,27.755481719970703
2023-04-03,27.943334579467773
2023-04-04,27.431730270385742
2023-04-05,26.860172271728516
2023-04-06,27.016054153442383
2023-04-07,27.016054153442383
2023-04-10,27.557634353637695
2023-04-11,27.147951126098633
2023-04-12,26.47447395324707
2023-04-13,26.44249725341797
2023-04-14,26.737268447875977
2023-04-17,26.981081008911133
