Date,SPY
2022-02-02,433.8945617675781
2022-02-03,423.6959228515625
2022-02-04,425.6882019042969
2022-02-07,424.3219909667969
2022-02-08,427.81329345703125
2022-02-09,434.0748291015625
2022-02-10,426.2763671875
2022-02-11,417.87078857421875
2022-02-14,416.5046691894531
2022-02-15,423.2215576171875
2022-02-16,423.6959228515625
2022-02-17,414.64520263671875
2022-02-18,411.9603271484375
2022-02-21,411.9603271484375
2022-02-22,407.539306640625
2022-02-23,400.3100891113281
2022-02-24,406.33441162109375
2022-02-25,415.2997741699219
2022-02-28,414.2371826171875
2022-03-01,407.9282531738281
2022-03-02,415.4326171875
2022-03-03,413.3643493652344
2022-03-04,410.0059509277344
2022-03-07,397.9193420410156
2022-03-08,394.90240478515625
2022-03-09,405.4900817871094
2022-03-10,403.6590881347656
2022-03-11,398.5264892578125
2022-03-14,395.61395263671875
2022-03-15,404.3136901855469
2022-03-16,413.2790222167969
2022-03-17,418.44952392578125
2022-03-18,423.0326843261719
2022-03-21,422.9089660644531
2022-03-22,427.85760498046875
2022-03-23,422.34747314453125
2022-03-24,428.714111328125
2022-03-25,430.80780029296875
2022-03-28,433.87213134765625
2022-03-29,439.23944091796875
2022-03-30,436.52728271484375
2022-03-31,429.8085632324219
2022-04-01,431.0267028808594
2022-04-04,434.7191162109375
2022-04-05,429.22802734375
2022-04-06,424.93603515625
2022-04-07,427.0772399902344
2022-04-08,425.935302734375
2022-04-11,418.655029296875
2022-04-12,417.1038513183594
2022-04-13,421.8811950683594
2022-04-14,416.6280517578125
2022-04-15,416.6280517578125
2022-04-18,416.79931640625
2022-04-19,423.5275573730469
2022-04-20,423.2135009765625
2022-04-21,416.8849792480469
2022-04-22,405.4459533691406
2022-04-25,407.7966003417969
2022-04-26,395.9865417480469
2022-04-27,397.0998840332031
2022-04-28,407.1305236816406
2022-04-29,392.0846252441406
2022-05-02,394.44476318359375
2022-05-03,396.2529602050781
2022-05-04,408.3199768066406
2022-05-05,393.8070983886719
2022-05-06,391.45660400390625
2022-05-09,378.9232177734375
2022-05-10,379.7987060546875
2022-05-11,373.76513671875
2022-05-12,373.3749694824219
2022-05-13,382.3016357421875
2022-05-16,380.7503967285156
2022-05-17,388.58245849609375
2022-05-18,372.9181823730469
2022-05-19,370.6341552734375
2022-05-20,370.7959289550781
2022-05-23,377.73358154296875
2022-05-24,374.8500671386719
2022-05-25,378.1618347167969
2022-05-26,385.7180480957031
2022-05-27,395.1870422363281
2022-05-30,395.1870422363281
2022-05-31,392.9696960449219
2022-06-01,389.7910461425781
2022-06-02,397.2140808105469
2022-06-03,390.69525146484375
2022-06-06,391.88482666015625
2022-06-07,395.64385986328125
2022-06-08,391.3423767089844
2022-06-09,382.03515625
2022-06-10,370.9577331542969
2022-06-13,356.8731689453125
2022-06-14,355.7977600097656
2022-06-15,360.8701477050781
2022-06-16,348.9267883300781
2022-06-17,349.6789855957031
2022-06-20,349.6789855957031
2022-06-21,358.48162841796875
2022-06-22,357.83172607421875
2022-06-23,361.33941650390625
2022-06-24,372.82781982421875
2022-06-27,371.40374755859375
2022-06-28,363.81488037109375
2022-06-29,363.51849365234375
2022-06-30,360.56524658203125
2022-07-01,364.3788146972656
2022-07-04,364.3788146972656
